filepath,user,rating,date,susceptibility,motion,flow
sub-8016_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,3,27-07-2023_10:49:17,,,
sub-8016_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,2,27-07-2023_10:49:17,,,
sub-6038_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,2,27-07-2023_10:49:17,,,
sub-6038_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,3,27-07-2023_10:49:17,,,
sub-5027_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,3,27-07-2023_10:49:17,,,
sub-5027_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,3,27-07-2023_10:49:17,,,
sub-6035_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,4,27-07-2023_10:49:17,,,
sub-6035_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,2,27-07-2023_10:49:17,,,
sub-5005_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,4,27-07-2023_10:49:17,,,
sub-5005_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,2,27-07-2023_10:49:17,,,
sub-8002_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-8002_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,4,27-07-2023_10:49:17,,,
sub-7024_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,2,27-07-2023_10:49:17,,,
sub-7024_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,3,27-07-2023_10:49:17,,,
sub-6041_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-6041_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-5050_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-5050_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-6029_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-6029_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,4,27-07-2023_10:49:17,,,
sub-8014_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-8014_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,4,27-07-2023_10:49:17,,,
sub-5043_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,4,27-07-2023_10:49:17,,,
sub-5043_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,2,27-07-2023_10:49:17,,,
sub-5020_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,5,27-07-2023_10:49:17,,,
sub-5020_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-5056_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,2,27-07-2023_10:49:17,,,
sub-5056_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,2,27-07-2023_10:49:17,,,
sub-5016_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-5016_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,4,27-07-2023_10:49:17,,,
sub-8022_ses-pre_acq-wholebrain_run-2_T1w.nii.gz,mollyi,3,27-07-2023_10:49:17,,,
sub-8022_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,3,27-07-2023_10:49:17,,,
sub-8022_ses-pre_acq-wholebrain_run-1_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-5062_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,4,27-07-2023_10:49:17,,,
sub-5062_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-5051_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-5051_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-8003_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,5,27-07-2023_10:49:17,,,
sub-8003_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,2,27-07-2023_10:49:17,,,
sub-6012_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,3,27-07-2023_10:49:17,,,
sub-6012_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-8023_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,3,27-07-2023_10:49:17,,,
sub-8023_ses-post_acq-wholebrain_run-1_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-8023_ses-post_acq-wholebrain_run-2_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-5063_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,4,27-07-2023_10:49:17,,,
sub-5063_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,3,27-07-2023_10:49:17,,,
sub-8018_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,5,27-07-2023_10:49:17,,,
sub-8018_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,2,27-07-2023_10:49:17,,,
sub-7029_ses-pre_acq-wholebrain_run-2_T1w.nii.gz,mollyi,2,27-07-2023_10:49:17,,,
sub-7029_ses-pre_acq-wholebrain_run-1_T1w.nii.gz,mollyi,1,27-07-2023_10:49:17,,,
sub-7029_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,4,27-07-2023_10:49:17,,,
sub-8010_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,3,27-07-2023_10:49:17,,,
sub-8010_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,3,27-07-2023_10:49:17,,,
sub-5059_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,4,27-07-2023_10:49:17,,,
sub-5059_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,5,27-07-2023_10:49:17,,,
sub-8011_ses-post_acq-wholebrain_T1w.nii.gz,mollyi,4,27-07-2023_11:11:15,,,
sub-8011_ses-pre_acq-wholebrain_T1w.nii.gz,mollyi,2,27-07-2023_11:11:15,,,
